,Country or area,Subregion,Region,Internet users,Unnamed: 4,Population.mw-parser-output .nobold{font-weight:normal}(2018)[13][14],Sources,Year
87,Bulgaria,Eastern Europe,Europe,4910000,,7051608.0,[106],2021
88,Zimbabwe,Eastern Africa,Africa,5010000,,14438802.0,[107],2021
89,Slovakia,Eastern Europe,Europe,4640000,,5453014.0,[108],2021
90,New Zealand,"Australia, New Zealand",Oceania,4273353,,4743131.0,[109],2021
91,Angola,Middle Africa,Africa,10360000,,30809787.0,[110],2021
92,Paraguay,South America,Americas,4920000,,6956066.0,[111],2021
93,Afghanistan,Southern Asia,Asia,8640000,,37171921.0,[112],2021
94,Kuwait,Western Asia,Asia,4260000,,4137312.0,[113],2021
95,Ireland,Northern Europe,Europe,4510000,,4818690.0,[114],2021
96,Oman,Western Asia,Asia,4920000,,4829473.0,[115],2021
97,Costa Rica,Central America,Americas,3511549,,4999441.0,[116],2021
98,State of Palestine,Western Asia,Asia,3208312,,,[117],2021
99,Republic of Moldova,Eastern Europe,Europe,3083783,,4051944.0,[118],2021
100,Burkina Faso,Western Africa,Africa,3047909,,19751466.0,[119],2021
101,Honduras,Central America,Americas,3810000,,9587522.0,[120],2021
102,Croatia,Southern Europe,Europe,3270000,,4156405.0,[121],2021
103,Puerto Rico (U.S.),Caribbean,Americas,2664928,,3039596.0,[122],2021
104,Rwanda,Eastern Africa,Africa,4120000,,12301970.0,[123],2021
105,Malawi,Eastern Africa,Africa,3450000,,18143217.0,[124],2021
106,Qatar,Western Asia,Asia,2880000,,2781682.0,[125],2021
107,Madagascar,Eastern Africa,Africa,5450000,,26262313.0,[126],2021
108,Bosnia and Herzegovina,Southern Europe,Europe,2320000,,3323925.0,[127],2021
109,Panama,Central America,Americas,2820000,,4176869.0,[128],2021
110,Georgia,Western Asia,Asia,2740000,,4002942.0,[129],2021
111,Uruguay,South America,Americas,2690000,,3449285.0,[130],2021
112,Mali,Western Africa,Africa,5740000,,19077749.0,[131],2021
113,Kyrgyzstan,Central Asia,Asia,3320000,,6304030.0,[132],2021
114,Lithuania,Northern Europe,Europe,2220000,,2801264.0,[133],2021
115,Niger,Western Africa,Africa,3360000,,22442831.0,[134],2021
116,Albania,Southern Europe,Europe,2000000,,2882740.0,[135],2021
117,Armenia,Western Asia,Asia,2020000,,2951745.0,[136],2021
118,El Salvador,Central America,Americas,1993079,,6420746.0,[137],2021
119,Tajikistan,Central Asia,Asia,3360000,,9100835.0,[138],2021
120,Lao People's Democratic Republic,South-eastern Asia,Asia,1749517,,7061507.0,[139],2021
121,Nicaragua,Central America,Americas,2780000,,6465501.0,[140],2021
122,Slovenia,Southern Europe,Europe,1750000,,2077837.0,[141],2021
123,North Macedonia,Southern Europe,Europe,1589659,,2082957.0,[142],2021
124,Latvia,Northern Europe,Europe,1670000,,1928459.0,[143],2021
125,Benin,Western Africa,Africa,1578008,,11485044.0,[144],2021
126,Guinea,Western Africa,Africa,2910000,,12414293.0,[145],2021
127,Bahrain,Western Asia,Asia,1710000,,1569446.0,[146],2021
128,Jamaica,Caribbean,Americas,1630000,,2934847.0,[147],2021
129,Libya,Northern Africa,Africa,3190000,,6678559.0,[148],2021
130,Haiti,Caribbean,Americas,4280000,,11123178.0,[149],2021
131,Turkmenistan,Central Asia,Asia,2010000,,5850901.0,[150],2021
132,Estonia,Northern Europe,Europe,1210000,,1322920.0,[151],2021
133,Trinidad and Tobago,Caribbean,Americas,1058744,,1389843.0,[152],2021
134,Gabon,Middle Africa,Africa,1400000,,2119275.0,[153],2021
135,South Sudan,Eastern Africa,Africa,1003542,,10975927.0,[154],2021
136,Sierra Leone,Western Africa,Africa,1000575,,7650150.0,[155],2021
137,Chad,Middle Africa,Africa,2860000,,15477729.0,[156],2021
138,Togo,Western Africa,Africa,1990000,,7889093.0,[157],2021
139,Cyprus,Western Asia,Asia,1040000,,1189265.0,[158],2021
140,Botswana,Southern Africa,Africa,1120000,,2254068.0,[159],2021
141,Namibia,Southern Africa,Africa,1310000,,2448301.0,[160],2021
142,Papua New Guinea,Melanesia,Oceania,924955,,8606323.0,[161],2021
143,Mauritania,Western Africa,Africa,1560000,,4403313.0,[162],2021
144,Mongolia,Eastern Asia,Asia,2010000,,3170216.0,[163],2021
145,Mauritius,Eastern Africa,Africa,814500,,1267185.0,[164],2021
146,Lesotho,Southern Africa,Africa,1030000,,2108328.0,[165],2021
147,Burundi,Eastern Africa,Africa,1610000,,11175374.0,[166],2021
148,Luxembourg,Western Europe,Europe,612100,,604245.0,[167],2021
149,Djibouti,Eastern Africa,Africa,554300,,958923.0,[168],2021
150,"Macau, China",Eastern Asia,Asia,517789,,631636.0,[169],2021
151,Congo,Middle Africa,Africa,455055,,5244359.0,[170],2021
152,Fiji,Melanesia,Oceania,634100,,883483.0,[171],2021
153,Montenegro,Southern Europe,Europe,477300,,627809.0,[172],2021
154,Gambia,Western Africa,Africa,416753,,2280094.0,[173],2021
155,Eswatini,Southern Africa,Africa,414278,,1136281.0,[174],2021
156,Brunei,South-eastern Asia,Asia,406705,,428963.0,[175],2021
157,Bhutan,Southern Asia,Asia,373200,,754388.0,[176],2021
158,Liberia,Western Africa,Africa,761000,,4818973.0,[177],2021
159,East Timor,South-eastern Asia,Asia,356356,,1267974.0,[178],2021
160,Malta,Southern Europe,Europe,380300,,439248.0,[179],2021
161,Bahamas,Caribbean,Americas,335800,,385637.0,[180],2021
162,Equatorial Guinea,Middle Africa,Africa,332642,,1308975.0,[181],2021
163,Iceland,Northern Europe,Europe,338900,,336713.0,[182],2021
164,Cabo Verde,Western Africa,Africa,312315,,543767.0,[183],2021
165,Somalia,Eastern Africa,Africa,294851,,15008226.0,[184],2021
166,Guyana,South America,Americas,294300,,779006.0,[185],2021
167,Suriname,South America,Americas,352100,,575990.0,[186],2021
168,Maldives,Southern Asia,Asia,342500,,515696.0,[187],2021
169,Barbados,Caribbean,Americas,235100,,286641.0,[188],2021
170,New Caledonia,Melanesia,Oceania,226557,,279993.0,[189],2021
171,French Polynesia,Polynesia,Oceania,205746,,277679.0,[190],2021
172,Central African Republic,Middle Africa,Africa,202204,,4666368.0,[191],2021
173,Belize,Central America,Americas,176400,,383071.0,[192],2021
174,Guam,Micronesia,Oceania,136500,,165768.0,[193],2021
175,Aruba (Netherlands),Caribbean,Americas,102285,,105845.0,[194],2021
176,Saint Lucia,Caribbean,Americas,90889,,181889.0,[195],2021
177,Antigua and Barbuda,Caribbean,Americas,77529,,96286.0,[196],2021
178,Andorra,Southern Europe,Europe,70800,,77006.0,[197],2021
179,Guinea-Bissau,Western Africa,Africa,401700,,1874303.0,[198],2021
180,Solomon Islands,Melanesia,Oceania,72872,,652857.0,[199],2021
181,Saint Vincent and the Grenadines,Caribbean,Americas,72048,,110211.0,[200],2021
182,Vanuatu,Melanesia,Oceania,104100,,292680.0,[201],2021
183,Comoros,Eastern Africa,Africa,74500,,832322.0,[202],2021
184,U.S. Virgin Islands,Caribbean,Americas,67535,,104680.0,[203],2021
185,Eritrea,Eastern Africa,Africa,248200,,3452786.0,[204],2021
186,Samoa,Polynesia,Oceania,67000,,196129.0,[205],2021
187,Grenada,Caribbean,Americas,66600,,111454.0,[206],2021
188,São Tomé and Príncipe,Middle Africa,Africa,61155,,211028.0,[207],2021
189,Bermuda,Northern America,Americas,60349,,62756.0,[208],2021
190,Seychelles,Eastern Africa,Africa,58000,,97096.0,[209],2021
191,Dominica,Caribbean,Americas,50200,,71625.0,[210],2021
192,Cayman Islands,Caribbean,Americas,49906,,64174.0,[211],2021
193,Faroe Islands,Northern Europe,Europe,48097,,48497.0,[212],2021
194,Saint Kitts and Nevis,Caribbean,Americas,44669,,52441.0,[213],2021
195,Tonga,Polynesia,Oceania,43800,,103197.0,[214],2021
196,Greenland,Northern America,Americas,39242,,56564.0,[215],2021
197,Jersey,Northern Europe,Europe,100300,,,[216],2021
198,Monaco,Western Europe,Europe,38200,,38682.0,[217],2021
